Country,EducationLevel,YearsOfExperience,Salary
Other,Bachelor's degree,7.0,45000.0
France,Master's degree,4.0,53703.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,15.0,102929.0
France,Master's degree,6.0,45111.0
Ukraine,Master's degree,7.0,53317.0
Germany,Master's degree,24.0,135332.0
Germany,Bachelor's degree,0.0,12889.0
Sweden,Bachelor's degree,3.0,50554.0
Other,Master's degree,13.0,64444.0
Norway,Master's degree,5.0,83296.0
Netherlands,Master's degree,7.0,59073.0
Germany,Less than Bachelor's degree,18.0,59073.0
Sweden,Master's degree,18.0,58146.0
France,Master's degree,5.0,118147.0
Spain,Bachelor's degree,5.0,53703.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,12.0,99363.0
Poland,Master's degree,18.0,180000.0
Denmark,Less than Bachelor's degree,6.0,57601.0
Ukraine,Master's degree,5.0,48000.0
India,Master's degree,14.0,49648.0
Canada,Master's degree,19.0,87231.0
Sweden,Bachelor's degree,6.0,52080.0
Germany,Bachelor's degree,3.0,63370.0
Spain,Bachelor's degree,7.0,55046.0
Sweden,Bachelor's degree,10.0,44640.0
France,Upper than Master's degree,9.0,111417.0
Greece,Master's degree,5.0,89172.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,1.0,53503.0
Hungary,Bachelor's degree,3.0,20545.0
Ukraine,Bachelor's degree,18.0,72295.0
Sweden,Bachelor's degree,25.0,56372.0
Germany,Less than Bachelor's degree,5.0,85925.0
Russian Federation,Bachelor's degree,7.0,78431.0
Other,Bachelor's degree,9.0,36179.0
Spain,Master's degree,5.0,60147.0
Netherlands,Less than Bachelor's degree,6.0,161109.0
Germany,Master's degree,4.0,73036.0
Switzerland,Master's degree,9.0,167125.0
Austria,Master's degree,5.0,86999.0
Czech Republic,Master's degree,10.0,86870.0
Australia,Bachelor's degree,2.0,88000.0
Australia,Less than Bachelor's degree,25.0,99099.0
Norway,Master's degree,12.0,76277.0
France,Master's degree,14.0,51555.0
Ukraine,Master's degree,21.0,24684.0
Denmark,Master's degree,9.0,107138.0
Denmark,Master's degree,27.0,100801.0
Ukraine,Bachelor's degree,4.0,48000.0
Spain,Less than Bachelor's degree,4.0,32222.0
India,Master's degree,2.0,14787.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,25.0,154986.0
Poland,Bachelor's degree,8.0,86613.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,6.0,48407.0
New Zealand,Bachelor's degree,7.0,71904.0
Ukraine,Master's degree,7.0,71090.0
France,Master's degree,4.0,21481.0
Russian Federation,Less than Bachelor's degree,3.0,69916.0
Ukraine,Less than Bachelor's degree,3.0,20241.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,6.0,50955.0
Austria,Bachelor's degree,4.0,67666.0
Germany,Master's degree,10.0,83777.0
Other,Less than Bachelor's degree,5.0,30573.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,15.0,152865.0
China,Upper than Master's degree,7.0,82785.0
Sweden,Bachelor's degree,8.0,53797.0
Germany,Less than Bachelor's degree,4.0,67666.0
Other,Less than Bachelor's degree,8.0,65805.0
Netherlands,Bachelor's degree,6.0,40277.0
Austria,Master's degree,12.0,112777.0
Austria,Bachelor's degree,5.0,64659.0
Hungary,Less than Bachelor's degree,5.0,73244.0
Germany,Master's degree,15.0,103110.0
Austria,Master's degree,26.0,96666.0
France,Less than Bachelor's degree,1.0,16111.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,1.0,57325.0
Russian Federation,Bachelor's degree,3.0,17479.0
Serbia,Less than Bachelor's degree,2.0,77332.0
Belgium,Bachelor's degree,12.0,107406.0
Other,Master's degree,14.0,67666.0
Netherlands,Bachelor's degree,5.0,64981.0
Austria,Less than Bachelor's degree,13.0,64444.0
Serbia,Bachelor's degree,8.0,54000.0
Netherlands,Less than Bachelor's degree,3.0,64444.0
India,Bachelor's degree,6.0,72977.0
Germany,Bachelor's degree,7.0,85925.0
Poland,Less than Bachelor's degree,7.0,53205.0
Austria,Master's degree,3.0,29000.0
China,Bachelor's degree,10.0,27595.0
Spain,Upper than Master's degree,10.0,128887.0
Russian Federation,Master's degree,2.0,38095.0
Austria,Bachelor's degree,7.0,18259.0
Other,Less than Bachelor's degree,15.0,33036.0
France,Master's degree,1.0,21481.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,4.0,68789.0
Austria,Master's degree,6.0,99888.0
New Zealand,Less than Bachelor's degree,6.0,95872.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,9.0,171974.0
Italy,Master's degree,15.0,84851.0
Ukraine,Master's degree,5.0,64000.0
Slovakia,Master's degree,3.0,34907.0
Germany,Master's degree,3.0,171850.0
France,Master's degree,25.0,53703.0
Brazil,Master's degree,6.0,64444.0
Poland,Bachelor's degree,16.0,89087.0
India,Master's degree,4.0,14356.0
Spain,Less than Bachelor's degree,15.0,58536.0
Germany,Less than Bachelor's degree,17.0,85925.0
Spain,Bachelor's degree,3.0,26852.0
Netherlands,Bachelor's degree,9.0,91295.0
"Iran, Islamic Republic of...",Master's degree,7.0,30000.0
Netherlands,Less than Bachelor's degree,15.0,69814.0
Germany,Less than Bachelor's degree,30.0,81629.0
Germany,Master's degree,4.0,95592.0
Germany,Less than Bachelor's degree,3.0,49407.0
Brazil,Master's degree,4.0,80000.0
China,Bachelor's degree,23.0,82785.0
Ukraine,Bachelor's degree,10.0,49368.0
Germany,Master's degree,7.0,96666.0
Sweden,Master's degree,16.0,42923.0
United States of America,Less than Bachelor's degree,20.0,115000.0
Belgium,Bachelor's degree,5.0,42962.0
France,Bachelor's degree,18.0,85925.0
New Zealand,Bachelor's degree,13.0,89112.0
Austria,Less than Bachelor's degree,1.0,48333.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,12.0,96815.0
Ukraine,Bachelor's degree,4.0,35951.0
Ukraine,Less than Bachelor's degree,5.0,37026.0
Austria,Bachelor's degree,3.0,55851.0
Norway,Less than Bachelor's degree,17.0,112309.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,0.0,38216.0
Bangladesh,Bachelor's degree,6.0,38240.0
Switzerland,Bachelor's degree,10.0,89134.0
Germany,Master's degree,23.0,107406.0
Switzerland,Master's degree,21.0,111417.0
Italy,Bachelor's degree,18.0,34370.0
France,Master's degree,3.0,59073.0
Belgium,Master's degree,13.0,107406.0
Germany,Bachelor's degree,2.0,57999.0
Other,Less than Bachelor's degree,15.0,53703.0
Denmark,Master's degree,4.0,144002.0
Austria,Less than Bachelor's degree,2.0,53596.0
France,Less than Bachelor's degree,7.0,67666.0
Ukraine,Master's degree,5.0,66647.0
Ukraine,Master's degree,3.0,21600.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,101910.0
Other,Bachelor's degree,3.0,17129.0
Ukraine,Master's degree,12.0,157000.0
Ukraine,Master's degree,7.0,17279.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,51592.0
Portugal,Master's degree,5.0,46185.0
India,Master's degree,6.0,17227.0
Italy,Bachelor's degree,23.0,48333.0
Ukraine,Less than Bachelor's degree,6.0,50355.0
Ukraine,Master's degree,3.0,27929.0
India,Bachelor's degree,1.0,13160.0
Norway,Bachelor's degree,4.0,68789.0
Spain,Bachelor's degree,17.0,64444.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,67516.0
India,Master's degree,4.0,15553.0
Poland,Master's degree,12.0,103935.0
Belgium,Bachelor's degree,13.0,59073.0
Austria,Master's degree,23.0,77332.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,30.0,95796.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,108280.0
Finland,Less than Bachelor's degree,2.0,29000.0
Germany,Less than Bachelor's degree,28.0,96666.0
Denmark,Less than Bachelor's degree,24.0,79777.0
Czech Republic,Master's degree,13.0,86870.0
Austria,Bachelor's degree,15.0,107406.0
Other,Master's degree,13.0,75184.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,25.0,165604.0
Ukraine,Master's degree,10.0,56773.0
Spain,Upper than Master's degree,2.0,15466.0
Norway,Bachelor's degree,14.0,93591.0
Other,Less than Bachelor's degree,28.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,4.0,65514.0
Viet Nam,Bachelor's degree,4.0,14150.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,7.0,50955.0
Belgium,Less than Bachelor's degree,13.0,120295.0
Sweden,Bachelor's degree,8.0,123999.0
Greece,Master's degree,9.0,92369.0
Ukraine,Master's degree,2.0,19253.0
Russian Federation,Bachelor's degree,7.0,23182.0
Netherlands,Master's degree,10.0,79481.0
Ukraine,Master's degree,7.0,37618.0
Spain,Bachelor's degree,6.0,42962.0
Pakistan,Bachelor's degree,9.0,17945.0
Other,Bachelor's degree,3.0,12585.0
Other,Bachelor's degree,5.0,52844.0
Portugal,Master's degree,6.0,71962.0
Greece,Bachelor's degree,2.0,22555.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,10.0,44586.0
Germany,Bachelor's degree,7.0,42962.0
Austria,Less than Bachelor's degree,4.0,49622.0
Greece,Bachelor's degree,1.0,26852.0
United States of America,Bachelor's degree,8.0,85000.0
Portugal,Bachelor's degree,2.0,24703.0
Italy,Less than Bachelor's degree,16.0,38666.0
Germany,Bachelor's degree,7.0,80555.0
Italy,Master's degree,5.0,24703.0
Poland,Less than Bachelor's degree,12.0,94037.0
Germany,Master's degree,11.0,139628.0
Germany,Bachelor's degree,5.0,57999.0
Netherlands,Bachelor's degree,3.0,54777.0
Other,Master's degree,19.0,38666.0
India,Bachelor's degree,16.0,44265.0
Ukraine,Master's degree,3.0,20000.0
Hungary,Upper than Master's degree,7.0,46878.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,3.0,59872.0
Austria,Bachelor's degree,13.0,107406.0
Romania,Master's degree,5.0,53943.0
Other,Less than Bachelor's degree,2.0,25777.0
Hungary,Less than Bachelor's degree,6.0,10381.0
Netherlands,Bachelor's degree,2.0,64444.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,6.0,111464.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,60000.0
Germany,Less than Bachelor's degree,2.0,128887.0
Italy,Upper than Master's degree,8.0,64444.0
Hungary,Bachelor's degree,8.0,58427.0
Netherlands,Master's degree,7.0,85173.0
United States of America,Master's degree,22.0,100000.0
Ukraine,Less than Bachelor's degree,13.0,96666.0
South Africa,Less than Bachelor's degree,26.0,64570.0
France,Master's degree,4.0,36088.0
Czech Republic,Master's degree,7.0,43978.0
France,Bachelor's degree,0.0,23629.0
Israel,Less than Bachelor's degree,8.0,129524.0
Bangladesh,Master's degree,15.0,42489.0
Other,Master's degree,10.0,61062.0
Germany,Less than Bachelor's degree,1.0,42962.0
France,Upper than Master's degree,16.0,150369.0
Belgium,Bachelor's degree,14.0,128887.0
Germany,Master's degree,4.0,56388.0
Hungary,Less than Bachelor's degree,3.0,17501.0
Spain,Upper than Master's degree,20.0,66592.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,5.0,48917.0
Spain,Master's degree,5.0,53703.0
Belgium,Master's degree,2.0,37592.0
Germany,Master's degree,10.0,77332.0
United States of America,Less than Bachelor's degree,6.0,100000.0
Spain,Master's degree,2.0,35444.0
Russian Federation,Master's degree,19.0,47059.0
Norway,Master's degree,2.0,79552.0
Canada,Less than Bachelor's degree,10.0,130847.0
Ukraine,Master's degree,8.0,26066.0
France,Bachelor's degree,16.0,88073.0
Austria,Master's degree,5.0,139628.0
Germany,Bachelor's degree,15.0,64444.0
Other,Bachelor's degree,5.0,91295.0
Switzerland,Master's degree,9.0,106960.0
Sweden,Master's degree,6.0,143076.0
Sweden,Master's degree,25.0,77833.0
Ireland,Bachelor's degree,13.0,161109.0
Slovakia,Bachelor's degree,15.0,69814.0
Ukraine,Master's degree,15.0,57600.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,8.0,50955.0
United States of America,Bachelor's degree,19.0,141500.0
Other,Master's degree,6.0,21968.0
India,Bachelor's degree,10.0,29909.0
South Africa,Bachelor's degree,7.0,53808.0
Norway,Bachelor's degree,8.0,84232.0
Belgium,Less than Bachelor's degree,16.0,134258.0
Israel,Bachelor's degree,3.0,98223.0
Germany,Master's degree,6.0,85925.0
Netherlands,Bachelor's degree,2.0,44430.0
France,Master's degree,2.0,16111.0
Germany,Bachelor's degree,19.0,77332.0
India,Bachelor's degree,7.0,41872.0
United States of America,Less than Bachelor's degree,28.0,175000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,6.0,178343.0
Czech Republic,Bachelor's degree,8.0,34748.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,10.0,53503.0
Other,Bachelor's degree,17.0,27969.0
Serbia,Less than Bachelor's degree,5.0,22020.0
Poland,Master's degree,17.0,102302.0
Australia,Bachelor's degree,16.0,125525.0
Russian Federation,Less than Bachelor's degree,1.0,34017.0
Sweden,Less than Bachelor's degree,8.0,62000.0
United States of America,Upper than Master's degree,3.0,184000.0
Turkey,Less than Bachelor's degree,11.0,64444.0
Germany,Master's degree,8.0,98814.0
United States of America,Bachelor's degree,0.0,54000.0
Brazil,Bachelor's degree,15.0,42892.0
Ireland,Bachelor's degree,25.0,102036.0
Czech Republic,Bachelor's degree,9.0,41176.0
India,Master's degree,7.0,14356.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,15.0,99363.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,21.0,70444.0
France,Bachelor's degree,4.0,25777.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,5.0,140127.0
Netherlands,Less than Bachelor's degree,28.0,91295.0
Sweden,Master's degree,1.0,42923.0
Spain,Bachelor's degree,8.0,128887.0
Germany,Master's degree,2.0,69062.0
Canada,Less than Bachelor's degree,3.0,47977.0
Italy,Less than Bachelor's degree,8.0,38666.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,11.0,170700.0
Bangladesh,Bachelor's degree,6.0,81579.0
Turkey,Bachelor's degree,0.0,12000.0
Italy,Master's degree,12.0,53703.0
Ukraine,Master's degree,17.0,53317.0
Other,Master's degree,7.0,105000.0
Sweden,Master's degree,5.0,108738.0
India,Bachelor's degree,22.0,64603.0
Brazil,Less than Bachelor's degree,4.0,13427.0
United States of America,Less than Bachelor's degree,18.0,175000.0
United States of America,Master's degree,5.0,100000.0
Czech Republic,Master's degree,8.0,36051.0
Germany,Master's degree,4.0,53703.0
Germany,Less than Bachelor's degree,23.0,99888.0
Poland,Bachelor's degree,12.0,44544.0
Czech Republic,Less than Bachelor's degree,2.0,20036.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,7.0,105732.0
Poland,Master's degree,17.0,61866.0
United States of America,Master's degree,7.0,112476.0
Germany,Upper than Master's degree,17.0,96666.0
Ukraine,Upper than Master's degree,7.0,62296.0
Other,Less than Bachelor's degree,4.0,54000.0
Romania,Upper than Master's degree,17.0,16183.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,8.0,100636.0
Germany,Upper than Master's degree,6.0,57999.0
Canada,Less than Bachelor's degree,1.0,45797.0
United States of America,Bachelor's degree,28.0,155000.0
Switzerland,Bachelor's degree,0.0,94147.0
United States of America,Bachelor's degree,29.0,185000.0
Ukraine,Master's degree,5.0,36019.0
Poland,Bachelor's degree,20.0,84138.0
Ukraine,Less than Bachelor's degree,4.0,27600.0
Ukraine,Bachelor's degree,4.0,26955.0
Austria,Master's degree,3.0,80555.0
France,Upper than Master's degree,20.0,45433.0
Germany,Bachelor's degree,10.0,118147.0
Germany,Less than Bachelor's degree,10.0,69599.0
Italy,Less than Bachelor's degree,2.0,17937.0
United States of America,Master's degree,4.0,170000.0
Canada,Master's degree,19.0,94501.0
United States of America,Bachelor's degree,15.0,155000.0
France,Master's degree,11.0,64444.0
Sweden,Less than Bachelor's degree,6.0,44831.0
Other,Bachelor's degree,2.0,17129.0
Other,Bachelor's degree,8.0,12000.0
France,Master's degree,12.0,59073.0
Italy,Bachelor's degree,5.0,27926.0
Netherlands,Master's degree,15.0,171850.0
Australia,Less than Bachelor's degree,0.0,13213.0
Other,Bachelor's degree,15.0,51991.0
Other,Bachelor's degree,17.0,14832.0
United States of America,Bachelor's degree,1.0,50000.0
Romania,Upper than Master's degree,6.0,31071.0
Belgium,Master's degree,25.0,42962.0
Poland,Master's degree,9.0,65578.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,21.0,129936.0
